Emotion,Sentence
Surprise,তৃণমূলের সাবেক মন্ত্রী শুভেন্দু সম্প্রতি মমতার সাহচর্য ছেড়ে বিজেপিতে যোগ দিয়েছেন।
Happy,রাস্তার দুই পাশের মধ্যে একটি দোকানে চমৎকার খাদ্য পাওয়া যায়। খুবই মজার ইন্টেরিয়র ডেকোরেশন। শুভেচ্ছায় পরিচালিত কর্মীদের। একটি থাম্বস আপ।
Sad,গতকাল আমি আমার কপ্লের সাথে কিছু বন্ধুর সাথে ইফতারের জন্য ওখানে গিয়েছিলাম। খাবারটি ঠাণ্ডা ছিল এবং প্রিপ্রণিত হয়েছিল বলে মনে হয়। স্টাফের আচরণটি সম্পূর্ণ বন্ধুত্বপূর্ণ ছিল না। আমরা প্যাকেজের সাথে সফট ড্রিংক থাকতে হবে কিন্তু তিনটি বার অনুস্মারণ দেওয়ার পরেও তারা ড্রিংক পরিবেশন করেনি।
Happy,"শহরের সেরা বারবিকিউ, গ্রিল মধ্যে একটি। তাদের সেহরী / ইফতার খাবারগুলি আমি প্রচুরই ভালো পেয়েছি। তাদের খাবার প্রতিষ্ঠিত মনে হয়। হালালওয়ের কমও দেখতে চাই। তা একটু পানি মত দাড়াতে পারে, যা মাশড আলুর চেয়ে বেশি হওয়া উচিত, যা একটু গাঢ় ও ঘন হওয়া উচিত। তবে তার বাইরে এটি মানে রয়েছে। আমার প্রতিটি জামাইকান এবং কোরিয়ান বারবিকিউ খাবারটি ভালো লাগে।"
Sad,ইফতারের জন্য অনেক চাপ ছিল যা কারণে মান সম্পূর্ণ ভালো ছিল না। প্রোমে ফ্রিট খুবই খারাপ ছিল। অন্যদিকে এটি সবসময় বারবিকিউ গিয়ে ভালো লাগে।
Disgust,সবচেয়ে খারাপ এফএনবি সেবা আমি এখনও অনুভব করেছি। তারা আমাকে ঠাণ্ডা খাবার দিয়েছেন এবং তখনও অভিযোগের পরেও একই ঠাণ্ডা খাবারটি পুনরায় পরিবেশন করেছেন। গুলশান ২ শাখার জন্য পূর্ণতারে এইটি পরিণত হয়েছে।
Happy,আমি এখানে কয়েকটি বার গিয়েছিলাম। সবসময় তাদের পরিষেবায় সন্তুষ্ট। ছোট ছোট শিশুর খেলার জন্য একটি ছোট জায়গা রয়েছে।
Happy,ভালো ছিল।
Happy,খাবারটি ভালো ছিল। অসাধারণ অভিজ্ঞতা ছিল :) অবশ্যই পরামর্শ দিতে হবে।
Sad,"ইফতার প্ল্যাটের পরিমাণ উচিত ছিল না, যা আপনি বিজ্ঞাপনগুলিতে পাবেন না।"
Disgust,ইফতার প্ল্যাটটি খুব খারাপ ছিল। সম্পূর্ণ খাবারটি ঠাণ্ডা পরিবেশন করা হয়েছিল। ভাতটি খুবই কঠিন ছিল। এই ইফতার প্ল্যাটের সাথে খুব নিরাশ হয়েছি।
Disgust,ইফতার প্ল্যাটগুলি ঘৃণ্য। গতকাল গুলশান শাখায় পরীক্ষা করেছিলাম। স্বাদহীন এবং আমরা সবাই খাবার বর্ধিত করেছি।
Angry,"আজ আমি আমার পরিবারের সঙ্গে রমজান খাবার ওয়ান (জামাইকান গ্রিলড চিকেন) খাওয়ার জন্য এখানে গিয়েছিলাম ... খাবারটি সম্পূর্ণ ঠাণ্ডা ছিল এবং জামাইকান গ্রিলড চিকেন, চিকেন শাশলিকও খুব কঠিন ছিল! এটি কোনও মজাদার ও প্রীতিস্ত খাবার ছিল না, বরং অনাহারযোগ্য ছিল !!! আমি এখানে একাধিক বার গিয়েছিলাম, কিন্তু আগে এই ধরণের অভিজ্ঞতা ছিল না। যদি জানতাম যে আমাকে এই রকম জিনিসগুলি খেতে হবে, আমি নিয়মিত মেনু অর্ডার করেছিলাম। এটা পুরোপুরি প্রতারণা।"
